Indeksi cen stanovanjskih nepremiènin po vrstah stanovanjskih nepremiènin, Slovenija, letno;;;;;;;;;;;
;;;;;;;;;;;
STANOVANJSKE NEPREMIÈNINE;2010 Povpreèje èetrtletij leta / povpreèje èetrtletij leta 2015;2011 Povpreèje èetrtletij leta / povpreèje èetrtletij leta 2015;2012 Povpreèje èetrtletij leta / povpreèje èetrtletij leta 2015;2013 Povpreèje èetrtletij leta / povpreèje èetrtletij leta 2015;2014 Povpreèje èetrtletij leta / povpreèje èetrtletij leta 2015;2015 Povpreèje èetrtletij leta / povpreèje èetrtletij leta 2015;2016 Povpreèje èetrtletij leta / povpreèje èetrtletij leta 2015;2017 Povpreèje èetrtletij leta / povpreèje èetrtletij leta 2015;2018 Povpreèje èetrtletij leta / povpreèje èetrtletij leta 2015;2019 Povpreèje èetrtletij leta / povpreèje èetrtletij leta 2015;2020 Povpreèje èetrtletij leta / povpreèje èetrtletij leta 2015
1 Stanovanjske nepremiènine - SKUPAJ;117.21;120.39;112.09;106.21;99.20;100.00;103.25;111.79;121.55;129.69;135.66
1.1 Nove stanovanjske nepremiènine;115.14;121.18;109.65;104.22;98.20;100.00;100.34;110.94;120.10;120.22;124.92
1.1.1 Nova stanovanja;109.88;118.20;105.60;101.76;95.11;100.00;101.33;112.77;122.00;121.52;124.12
1.1.2 Nove družinske hiše;134.24;131.84;126.41;116.49;113.73;100.00;95.06;102.04;110.18;113.89;128.94
1.2 Rabljene stanovanjske nepremiènine;118.67;119.46;112.80;106.84;99.44;100.00;103.77;111.89;121.83;131.56;137.85
1.2.1 Rabljena stanovanja, Slovenija;117.28;118.48;111.10;105.89;97.14;100.00;104.03;113.71;126.64;135.99;143.31
1.2.1.1 Rabljena stanovanja, Ljubljana-obèina;120.03;123.73;116.24;102.76;94.99;100.00;106.05;120.02;134.54;137.88;142.77
1.2.1.2 Rabljena stanovanja, preostala Slovenija;115.30;115.32;108.03;108.09;98.69;100.00;102.64;109.48;121.39;134.12;142.85
1.2.1.2.1 Rabljena stanovanja, Mestna obcina Maribor;...;...;...;...;...;100.00;107.40;115.66;130.25;142.32;144.04
1.2.1.2.2 Rabljena stanovanja, preostala Slovenija (brez mestnih obcin Ljubljana in Maribor);...;...;...;...;...;100.00;104.43;111.31;123.62;138.29;146.35
1.2.2 Rabljene družinske hiše;121.93;121.57;116.53;109.00;104.50;100.00;103.03;108.17;112.50;122.92;127.40
