Selitveno gibanje prebivalstva, statistiène regije, Slovenija, letno;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
STATISTIÈNA REGIJA;2010 Priseljeni iz drugih statistiènih regij - Skupaj;2010 Odseljeni v druge statistiène regije - Skupaj;2011 Priseljeni iz drugih statistiènih regij - Skupaj;2011 Odseljeni v druge statistiène regije - Skupaj;2012 Priseljeni iz drugih statistiènih regij - Skupaj;2012 Odseljeni v druge statistiène regije - Skupaj;2013 Priseljeni iz drugih statistiènih regij - Skupaj;2013 Odseljeni v druge statistiène regije - Skupaj;2014 Priseljeni iz drugih statistiènih regij - Skupaj;2014 Odseljeni v druge statistiène regije - Skupaj;2015 Priseljeni iz drugih statistiènih regij - Skupaj;2015 Odseljeni v druge statistiène regije - Skupaj;2016 Priseljeni iz drugih statistiènih regij - Skupaj;2016 Odseljeni v druge statistiène regije - Skupaj;2017 Priseljeni iz drugih statistiènih regij - Skupaj;2017 Odseljeni v druge statistiène regije - Skupaj;2018 Priseljeni iz drugih statistiènih regij - Skupaj;2018 Odseljeni v druge statistiène regije - Skupaj;2019 Priseljeni iz drugih statistiènih regij - Skupaj;2019 Odseljeni v druge statistiène regije - Skupaj;2020 Priseljeni iz drugih statistiènih regij - Skupaj;2020 Odseljeni v druge statistiène regije - Skupaj
SLOVENIJA;43581;43581;45628;45628;47128;47128;47570;47570;48152;48152;47405;47405;47023;47023;47195;47195;42465;42465;42014;42014;64619;64619
Pomurska;2166;2191;2392;2205;2344;2374;2236;2441;2424;2393;2295;2258;2299;2207;2224;2227;1930;2042;2093;1742;2882;2528
Podravska;5771;5644;6031;5702;6287;6006;6586;5863;6524;6172;6170;6329;5951;6270;6010;5940;5706;5167;5629;5529;7558;6889
Koroška;1359;1706;1520;1687;1411;1797;1414;1851;1500;1632;1491;1653;1473;1632;1403;1583;1126;1484;1154;1386;1758;2053
Savinjska;4858;5294;5298;5403;5345;5819;4883;6006;5527;5833;5411;5249;5374;5294;5433;5373;4802;5180;4907;5273;6668;7239
Zasavska;731;1111;838;1049;890;1246;852;1187;923;1078;1356;1583;1502;1519;1479;1556;1317;1463;1268;1297;1922;2123
Posavska;1746;1695;1873;1830;1956;1899;1762;1999;2041;1937;2064;1958;2067;2097;1994;2068;1770;1946;1863;1912;2560;2578
Jugovzhodna Slovenija;3183;3195;3280;3521;3369;3775;3364;3681;3425;3772;3483;3445;3399;3464;3320;3400;3121;3289;3088;3212;4716;4649
Osrednjeslovenska;13321;11943;13510;12956;15193;12675;15318;12762;14664;13622;14377;13736;14283;13600;14518;13622;13141;11844;12553;12013;18025;21806
Gorenjska;3251;3561;3396;3642;3291;3939;3477;3877;3681;3929;3567;3813;3507;3626;3482;3740;2971;3382;3200;3268;7973;5398
Primorsko-notranjska;1509;1503;1464;1516;1443;1505;1394;1525;1515;1453;1366;1474;1481;1437;1405;1586;1386;1417;1276;1317;1956;1900
Goriška;2386;2519;2568;2865;2483;2842;2344;3088;2523;2674;2538;2637;2385;2650;2458;2804;2106;2426;2128;2328;3236;3250
Obalno-kraška;3300;3219;3458;3252;3116;3251;3940;3290;3405;3657;3287;3270;3302;3227;3469;3296;3089;2825;2855;2737;5365;4206
