leto,stevilo_stanovanj,indeks glede na leto 2015,indeks skupnih stroškov,indeks stroškov materiala,indeks stroškov dela
2010,4741,94.38,976.5,937.75,1030
2011,3713,96.09,1021.25,991,1061.5
2012,3082,98.58,1009,1000.75,1019.25
2013,3081,100.32,998.25,999.25,992.5
2014,2641,100.52,993,996.25,985.75
2015,2688,100,1000,999.75,1000
2016,3034,99.95,988.25,986.75,992.75
2017,3116,101.37,1035.25,1021.75,1057.5
2018,3637,103.14,1062.75,1045,1084
2019,3314,104.82,1095.75,1048,1155.25
2020,3667,104.76,1110.25,1029.5,1203.75
