statisticna_regija,Povprečna cena/m2,leto,Povprečna cena/m2 (mlajše od 10let)
Gorenjska,1923.049232709453,2010,9692.049450049652
Goriška,1512.3680691104148,2010,6296.966230691689
Jugovzhodna Slovenija,1701.2630526149762,2010,2609.8992335590706
Koroška,361.7067059035906,2010,NA
Obalno-kraška,3937.084622108269,2010,3401.087468321116
Osrednjeslovenska,2602.196225599702,2010,3073.5699161459997
Podravska,1618.6949092881046,2010,1543.7513046011786
Pomurska,1244.5928167114525,2010,1175.6799176910793
Posavska,672.9479925990012,2010,1486.8491680085883
Primorsko-notranjska,962.5544301588739,2010,1545.2185070438327
Savinjska,1839.1859204238585,2010,13196.40680755696
Zasavska,1461.3780844296573,2010,1547.1698113207547
Gorenjska,2262.3147865858746,2020,2983.8667238132275
Goriška,1161.7912976512896,2020,2064.123583324643
Jugovzhodna Slovenija,1147.80459060487,2020,1876.8320795563404
Koroška,1355.7396632361551,2020,1255.4149798837573
Obalno-kraška,2964.9141592503966,2020,3124.5018593437308
Osrednjeslovenska,3026.5536642580355,2020,4013.8029988551766
Podravska,1981.9862043014248,2020,2021.0044871873404
Pomurska,2345.9762778109307,2020,4904.005946512751
Posavska,1100.02573513606,2020,2035.3565244076194
Primorsko-notranjska,1539.6766266088268,2020,1022.864019253911
Savinjska,1322.844272523789,2020,2092.6556129215182
Zasavska,975.8128704767258,2020,1964.085297418631
